County,Variable,Category,Value,Obesity Risk,R^2
DeKalb,Median Household Income,Sociodemographic,43309.0,33.5,0.995
DeKalb,Median Household Income,Sociodemographic,55109.0,32.8,0.995
DeKalb,Median Household Income,Sociodemographic,50118.0,31.6,0.995
DeKalb,Median Household Income,Sociodemographic,50362.0,28.2,0.995
DeKalb,Median Household Income,Sociodemographic,52813.0,32.3,0.995
DeKalb,Median Household Income,Sociodemographic,126644.0,24.1,0.995
DeKalb,Median Household Income,Sociodemographic,50666.0,34.8,0.995
DeKalb,Median Household Income,Sociodemographic,62951.0,31.8,0.995
DeKalb,Median Household Income,Sociodemographic,92404.0,21.9,0.995
DeKalb,Median Household Income,Sociodemographic,115759.0,23.9,0.995
DeKalb,Median Household Income,Sociodemographic,47885.0,34.6,0.995
DeKalb,Median Household Income,Sociodemographic,53222.0,33.1,0.995
DeKalb,Median Household Income,Sociodemographic,111827.0,23.6,0.995
DeKalb,Median Household Income,Sociodemographic,108203.0,27.5,0.995
DeKalb,Median Household Income,Sociodemographic,54575.0,33.6,0.995
DeKalb,Median Household Income,Sociodemographic,72537.0,24.6,0.995
DeKalb,Median Household Income,Sociodemographic,57381.0,26.3,0.995
DeKalb,Median Household Income,Sociodemographic,77708.0,21.0,0.995
DeKalb,Median Household Income,Sociodemographic,85417.0,24.9,0.995
DeKalb,Median Household Income,Sociodemographic,66425.0,24.5,0.995
DeKalb,Median Household Income,Sociodemographic,159306.0,23.1,0.995
DeKalb,Median Household Income,Sociodemographic,82454.0,27.3,0.995
DeKalb,Median Household Income,Sociodemographic,149306.0,23.4,0.995
DeKalb,Median Household Income,Sociodemographic,105033.0,25.9,0.995
DeKalb,Median Household Income,Sociodemographic,42679.0,29.7,0.995
DeKalb,Median Household Income,Sociodemographic,88778.0,24.8,0.995
DeKalb,Median Household Income,Sociodemographic,76066.0,28.9,0.995
DeKalb,Median Household Income,Sociodemographic,68216.0,31.0,0.995
DeKalb,Median Household Income,Sociodemographic,85543.0,29.1,0.995
DeKalb,Median Household Income,Sociodemographic,99337.0,26.8,0.995
DeKalb,Median Household Income,Sociodemographic,74539.0,25.6,0.995
DeKalb,Median Household Income,Sociodemographic,72935.0,28.7,0.995
DeKalb,Median Household Income,Sociodemographic,44883.0,34.8,0.995
DeKalb,Median Household Income,Sociodemographic,39085.0,35.3,0.995
DeKalb,Median Household Income,Sociodemographic,46448.0,37.2,0.995
DeKalb,Median Household Income,Sociodemographic,55048.0,35.2,0.995
DeKalb,Median Household Income,Sociodemographic,36250.0,40.9,0.995
DeKalb,Median Household Income,Sociodemographic,37269.0,40.7,0.995
DeKalb,Median Household Income,Sociodemographic,42305.0,37.6,0.995
DeKalb,Median Household Income,Sociodemographic,27835.0,42.7,0.995
DeKalb,Median Household Income,Sociodemographic,164926.0,26.7,0.995
DeKalb,Median Household Income,Sociodemographic,32983.0,39.4,0.995
DeKalb,Median Household Income,Sociodemographic,66638.0,28.2,0.995
DeKalb,Median Household Income,Sociodemographic,53341.0,34.5,0.995
DeKalb,Median Household Income,Sociodemographic,39266.0,36.2,0.995
DeKalb,Median Household Income,Sociodemographic,39216.0,38.3,0.995
DeKalb,Median Household Income,Sociodemographic,32672.0,39.0,0.995
DeKalb,Median Household Income,Sociodemographic,41042.0,40.7,0.995
DeKalb,Median Household Income,Sociodemographic,59583.0,32.0,0.995
DeKalb,Median Household Income,Sociodemographic,44135.0,37.1,0.995
DeKalb,Median Household Income,Sociodemographic,66731.0,24.5,0.995
DeKalb,Median Household Income,Sociodemographic,68523.0,26.4,0.995
DeKalb,Median Household Income,Sociodemographic,73819.0,24.7,0.995
DeKalb,Median Household Income,Sociodemographic,89146.0,25.3,0.995
DeKalb,Median Household Income,Sociodemographic,110775.0,23.3,0.995
DeKalb,Median Household Income,Sociodemographic,32083.0,20.6,0.995
DeKalb,Median Household Income,Sociodemographic,174531.0,23.1,0.995
DeKalb,Median Household Income,Sociodemographic,90648.0,28.3,0.995
DeKalb,Median Household Income,Sociodemographic,82131.0,24.4,0.995
DeKalb,Median Household Income,Sociodemographic,136324.0,26.8,0.995
DeKalb,Median Household Income,Sociodemographic,136711.0,25.5,0.995
DeKalb,Median Household Income,Sociodemographic,79400.0,27.9,0.995
DeKalb,Median Household Income,Sociodemographic,83021.0,26.2,0.995
DeKalb,Median Household Income,Sociodemographic,56487.0,36.9,0.995
DeKalb,Median Household Income,Sociodemographic,39961.0,35.8,0.995
DeKalb,Median Household Income,Sociodemographic,51222.0,39.0,0.995
DeKalb,Median Household Income,Sociodemographic,32258.0,45.1,0.995
DeKalb,Median Household Income,Sociodemographic,62969.0,39.0,0.995
DeKalb,Median Household Income,Sociodemographic,29786.0,41.6,0.995
DeKalb,Median Household Income,Sociodemographic,40542.0,34.9,0.995
DeKalb,Median Household Income,Sociodemographic,51105.0,39.4,0.995
DeKalb,Median Household Income,Sociodemographic,0.0,50.2,0.995
DeKalb,Median Household Income,Sociodemographic,56263.0,38.5,0.995
DeKalb,Median Household Income,Sociodemographic,43190.0,40.0,0.995
DeKalb,Median Household Income,Sociodemographic,41216.0,41.0,0.995
DeKalb,Median Household Income,Sociodemographic,59983.0,37.9,0.995
DeKalb,Median Household Income,Sociodemographic,33682.0,41.7,0.995
DeKalb,Median Household Income,Sociodemographic,49980.0,37.6,0.995
DeKalb,Median Household Income,Sociodemographic,60033.0,39.1,0.995
DeKalb,Median Household Income,Sociodemographic,42517.0,40.3,0.995
DeKalb,Median Household Income,Sociodemographic,48150.0,38.7,0.995
DeKalb,Median Household Income,Sociodemographic,48638.0,38.5,0.995
DeKalb,Median Household Income,Sociodemographic,74544.0,37.6,0.995
DeKalb,Median Household Income,Sociodemographic,46509.0,40.7,0.995
DeKalb,Median Household Income,Sociodemographic,40830.0,40.4,0.995
DeKalb,Median Household Income,Sociodemographic,82019.0,37.3,0.995
DeKalb,Median Household Income,Sociodemographic,72651.0,37.2,0.995
DeKalb,Median Household Income,Sociodemographic,55143.0,39.8,0.995
DeKalb,Median Household Income,Sociodemographic,53858.0,39.2,0.995
DeKalb,Median Household Income,Sociodemographic,77260.0,35.4,0.995
DeKalb,Median Household Income,Sociodemographic,69120.0,36.4,0.995
DeKalb,Median Household Income,Sociodemographic,34132.0,41.6,0.995
DeKalb,Median Household Income,Sociodemographic,42606.0,41.4,0.995
DeKalb,Median Household Income,Sociodemographic,52180.0,38.7,0.995
DeKalb,Median Household Income,Sociodemographic,70811.0,37.4,0.995
DeKalb,Median Household Income,Sociodemographic,69542.0,35.7,0.995
DeKalb,Median Household Income,Sociodemographic,59340.0,39.1,0.995
DeKalb,Median Household Income,Sociodemographic,51555.0,37.7,0.995
DeKalb,Median Household Income,Sociodemographic,69087.0,37.4,0.995
DeKalb,Median Household Income,Sociodemographic,43165.0,40.6,0.995
DeKalb,Median Household Income,Sociodemographic,66552.0,40.7,0.995
DeKalb,Median Household Income,Sociodemographic,80858.0,36.1,0.995
DeKalb,Median Household Income,Sociodemographic,64375.0,39.5,0.995
DeKalb,Median Household Income,Sociodemographic,73652.0,38.3,0.995
DeKalb,Median Household Income,Sociodemographic,74083.0,38.3,0.995
DeKalb,Median Household Income,Sociodemographic,62969.0,39.5,0.995
DeKalb,Median Household Income,Sociodemographic,39408.0,41.1,0.995
DeKalb,Median Household Income,Sociodemographic,32000.0,42.7,0.995
DeKalb,Median Household Income,Sociodemographic,35611.0,43.0,0.995
DeKalb,Median Household Income,Sociodemographic,38231.0,41.7,0.995
DeKalb,Median Household Income,Sociodemographic,45924.0,39.9,0.995
DeKalb,Median Household Income,Sociodemographic,47012.0,39.7,0.995
DeKalb,Median Household Income,Sociodemographic,72303.0,38.1,0.995
DeKalb,Median Household Income,Sociodemographic,43100.0,41.4,0.995
DeKalb,Median Household Income,Sociodemographic,38156.0,42.5,0.995
DeKalb,Median Household Income,Sociodemographic,47712.0,38.6,0.995
DeKalb,Median Household Income,Sociodemographic,81103.0,33.7,0.995
DeKalb,Median Household Income,Sociodemographic,44676.0,41.2,0.995
DeKalb,Median Household Income,Sociodemographic,56821.0,39.4,0.995
Cobb,Median Household Income,Sociodemographic,89819.0,31.1,0.997
Cobb,Median Household Income,Sociodemographic,89863.0,30.1,0.997
Cobb,Median Household Income,Sociodemographic,52119.0,33.8,0.997
Cobb,Median Household Income,Sociodemographic,64326.0,32.5,0.997
Cobb,Median Household Income,Sociodemographic,100857.0,29.3,0.997
Cobb,Median Household Income,Sociodemographic,110000.0,29.7,0.997
Cobb,Median Household Income,Sociodemographic,90469.0,29.1,0.997
Cobb,Median Household Income,Sociodemographic,75463.0,30.0,0.997
Cobb,Median Household Income,Sociodemographic,147696.0,26.7,0.997
Cobb,Median Household Income,Sociodemographic,121469.0,28.2,0.997
Cobb,Median Household Income,Sociodemographic,91838.0,28.9,0.997
Cobb,Median Household Income,Sociodemographic,111122.0,28.2,0.997
Cobb,Median Household Income,Sociodemographic,76559.0,30.0,0.997
Cobb,Median Household Income,Sociodemographic,84429.0,30.2,0.997
Cobb,Median Household Income,Sociodemographic,85264.0,29.9,0.997
Cobb,Median Household Income,Sociodemographic,65673.0,31.4,0.997
Cobb,Median Household Income,Sociodemographic,50172.0,29.7,0.997
Cobb,Median Household Income,Sociodemographic,67768.0,24.3,0.997
Cobb,Median Household Income,Sociodemographic,79243.0,30.5,0.997
Cobb,Median Household Income,Sociodemographic,109602.0,28.1,0.997
Cobb,Median Household Income,Sociodemographic,108375.0,30.2,0.997
Cobb,Median Household Income,Sociodemographic,102868.0,29.9,0.997
Cobb,Median Household Income,Sociodemographic,118810.0,29.9,0.997
Cobb,Median Household Income,Sociodemographic,105819.0,29.7,0.997
Cobb,Median Household Income,Sociodemographic,145938.0,28.0,0.997
